Year;Month;Day;Date;CZ
2015;1;1;1/1/2015;0.198581439393939
2015;1;2;2/1/2015;0.205988636363636
2015;1;3;3/1/2015;0.107572916666667
2015;1;4;4/1/2015;0.227570075757576
2015;1;5;5/1/2015;0.212086174242424
2015;1;6;6/1/2015;0.213026515151515
2015;1;7;7/1/2015;0.203611742424242
2015;1;8;8/1/2015;0.206958333333333
2015;1;9;9/1/2015;0.0969981060606061
2015;1;10;10/1/2015;0.0848465909090909
2015;1;11;11/1/2015;0.193960227272727
2015;1;12;12/1/2015;0.181525568181818
2015;1;13;13/1/2015;0.184743371212121
2015;1;14;14/1/2015;0.192945075757576
2015;1;15;15/1/2015;0.18909375
2015;1;16;16/1/2015;0.183724431818182
2015;1;17;17/1/2015;0.0833219696969697
2015;1;18;18/1/2015;0.190986742424242
2015;1;19;19/1/2015;0.186566287878788
2015;1;20;20/1/2015;0.196541666666667
2015;1;21;21/1/2015;0.196589962121212
2015;1;22;22/1/2015;0.188938446969697
2015;1;23;23/1/2015;0.190616477272727
2015;1;24;24/1/2015;0.116633522727273
2015;1;25;25/1/2015;0.20378125
2015;1;26;26/1/2015;0.200928977272727
2015;1;27;27/1/2015;0.199356060606061
2015;1;28;28/1/2015;0.205622159090909
2015;1;29;29/1/2015;0.210106060606061
2015;1;30;30/1/2015;0.204059659090909
2015;1;31;31/1/2015;0.11667803030303
2015;2;1;1/2/2015;0.204318181818182
2015;2;2;2/2/2015;0.203110795454545
2015;2;3;3/2/2015;0.208054924242424
2015;2;4;4/2/2015;0.202752840909091
2015;2;5;5/2/2015;0.203412878787879
2015;2;6;6/2/2015;0.199813446969697
2015;2;7;7/2/2015;0.0921155303030303
2015;2;8;8/2/2015;0.214591856060606
2015;2;9;9/2/2015;0.200352272727273
2015;2;10;10/2/2015;0.211680871212121
2015;2;11;11/2/2015;0.214060606060606
2015;2;12;12/2/2015;0.215345643939394
2015;2;13;13/2/2015;0.211700757575758
2015;2;14;14/2/2015;0.211910037878788
2015;2;15;15/2/2015;0.216306818181818
2015;2;16;16/2/2015;0.207210227272727
2015;2;17;17/2/2015;0.199607007575758
2015;2;18;18/2/2015;0.203315340909091
2015;2;19;19/2/2015;0.207620265151515
2015;2;20;20/2/2015;0.211980113636364
2015;2;21;21/2/2015;0.210664772727273
2015;2;22;22/2/2015;0.21750946969697
2015;2;23;23/2/2015;0.212522727272727
2015;2;24;24/2/2015;0.211239583333333
2015;2;25;25/2/2015;0.208341856060606
2015;2;26;26/2/2015;0.208833333333333
2015;2;27;27/2/2015;0.208299242424242
2015;2;28;28/2/2015;0.125676136363636
2015;3;1;1/3/2015;0.232087121212121
2015;3;2;2/3/2015;0.214372159090909
2015;3;3;3/3/2015;0.220773674242424
2015;3;4;4/3/2015;0.224635416666667
2015;3;5;5/3/2015;0.213683712121212
2015;3;6;6/3/2015;0.21158428030303
2015;3;7;7/3/2015;0.113869318181818
2015;3;8;8/3/2015;0.233298295454545
2015;3;9;9/3/2015;0.222387310606061
2015;3;10;10/3/2015;0.212980113636364
2015;3;11;11/3/2015;0.214639204545455
2015;3;12;12/3/2015;0.213029356060606
2015;3;13;13/3/2015;0.204814393939394
2015;3;14;14/3/2015;0.101753787878788
2015;3;15;15/3/2015;0.223645833333333
2015;3;16;16/3/2015;0.207087121212121
2015;3;17;17/3/2015;0.218913825757576
2015;3;18;18/3/2015;0.218219696969697
2015;3;19;19/3/2015;0.212589015151515
2015;3;20;20/3/2015;0.19577178030303
2015;3;21;21/3/2015;0.0969242424242424
2015;3;22;22/3/2015;0.217193181818182
2015;3;23;23/3/2015;0.207711174242424
